19:12:00.713551 config: drop-rate=0.00, max-delay=0s, seed=1574467920713298000
20:15:55.988020 [queue=7] packet #4294967295, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 18ms
20:15:55.997173 [queue=6] packet #4294967288, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:55.997752 [queue=5] packet #2, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:56.000800 [queue=5] packet #4294967288, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is dropped
20:15:56.001369 [queue=6] packet #2, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 12ms
20:15:56.007311 [queue=4] packet #4294967295, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:56.007425 [queue=4] packet #4294967291, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:56.008860 [queue=5] packet #4294967291, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 12ms
20:15:56.012773 [queue=4] packet #4294967293, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:56.013734 [queue=3] packet #2, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:56.013739 [queue=4] packet #4294967293, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 0s
20:15:56.013954 [queue=3] packet #4294967293, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:56.019405 [queue=2] packet #4294967292, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:56.021171 [queue=2] packet #4294967292, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 52ms
20:15:56.021191 [queue=2] packet #4294967291, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:56.053733 [queue=1] packet #4294967289, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:56.075529 [queue=0] packet #4294967292, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:00.973169 [queue=1] packet #4294967288, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 25ms
20:16:00.974191 [queue=2] packet #4294967294, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 7ms
20:16:00.981795 [queue=1] packet #4294967294, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:00.983538 [queue=2] packet #4294967294, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 80ms
20:16:01.002215 [queue=1] packet #4294967288, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.003350 [queue=2] packet #4294967288, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 54ms
20:16:01.059543 [queue=1] packet #4294967288, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.065086 [queue=0] packet #4294967294, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.068194 [queue=1] packet #3, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 30ms
20:16:01.068272 [queue=2] packet #4, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 93ms
20:16:01.068542 [queue=3] packet #5, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 69ms
20:16:01.068685 [queue=3] packet #6, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is dropped
20:16:01.068816 [queue=4] packet #7, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 70ms
20:16:01.068966 [queue=5] packet #8, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 58ms
20:16:01.069087 [queue=5] packet #9, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is dropped
20:16:01.069344 [queue=6] packet #10, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 49ms
20:16:01.069536 [queue=6] packet #11, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is dropped
20:16:01.069769 [queue=7] packet #12, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 65ms
20:16:01.102384 [queue=6] packet #3, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.104112 [queue=7] packet #3, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 53ms
20:16:01.122190 [queue=6] packet #10, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.123746 [queue=7] packet #10, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 99ms
20:16:01.129442 [queue=6] packet #8, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.130151 [queue=7] packet #8, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 46ms
20:16:01.135143 [queue=6] packet #12, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.135859 [queue=7] packet #12, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 95ms
20:16:01.138364 [queue=6] packet #5, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.139107 [queue=6] packet #5, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 3ms
